time,date,symbol,volume,adjprice,oil,gold,sp500,vix,rates_10y
2274,2019-01-15,XOM,10298300,51.42246627807617,52.11000061035156,1286.199951171875,2610.300048828125,18.600000381469727,2.7109999656677246
2275,2019-01-16,XOM,12595600,51.40095520019531,52.310001373291016,1291.5999755859375,2616.10009765625,19.040000915527344,2.7309999465942383
2276,2019-01-17,XOM,10141700,51.75251007080078,52.06999969482422,1291.0,2635.9599609375,18.059999465942383,2.749000072479248
2277,2019-01-18,XOM,15759200,52.36954879760742,53.79999923706055,1281.300048828125,2670.7099609375,17.799999237060547,2.7839999198913574
2278,2019-01-22,XOM,15035600,51.580322265625,52.56999969482422,1282.5,2632.89990234375,20.799999237060547,2.7300000190734863
2279,2019-01-23,XOM,13187200,51.15700149536133,52.619998931884766,1283.0999755859375,2638.699951171875,19.520000457763672,2.755000114440918
2280,2019-01-24,XOM,11272500,51.228759765625,53.130001068115234,1279.0999755859375,2642.330078125,18.88999938964844,2.711999893188477
2281,2019-01-25,XOM,8996200,51.45833587646485,53.68999862670898,1297.4000244140625,2664.760009765625,17.420000076293945,2.753000020980835
2282,2019-01-28,XOM,13678400,51.11395263671875,51.9900016784668,1302.4000244140625,2643.85009765625,18.8700008392334,2.74399995803833
2283,2019-01-29,XOM,10513200,51.30767440795898,53.310001373291016,1308.199951171875,2640.0,19.1299991607666,2.711999893188477
2284,2019-01-30,XOM,11524700,51.8673095703125,54.22999954223633,1309.9000244140625,2681.050048828125,17.65999984741211,2.694999933242798
2285,2019-01-31,XOM,19876700,52.57763671875,53.790000915527344,1319.699951171875,2704.10009765625,16.56999969482422,2.634999990463257
2286,2019-02-01,XOM,22968700,54.471797943115234,55.2599983215332,1316.9000244140625,2706.530029296875,16.139999389648438,2.690999984741211
2287,2019-02-04,XOM,15483800,53.68256759643555,54.560001373291016,1314.300048828125,2724.8701171875,15.729999542236328,2.7239999771118164
2288,2019-02-05,XOM,12786700,54.23502731323242,53.65999984741211,1314.199951171875,2737.699951171875,15.56999969482422,2.70199990272522
2289,2019-02-06,XOM,10866900,53.99825668334961,54.0099983215332,1309.5,2731.610107421875,15.380000114440918,2.70199990272522
2290,2019-02-07,XOM,14418900,53.58211135864258,52.63999938964844,1309.4000244140625,2706.050048828125,16.3700008392334,2.6519999504089355
2291,2019-02-08,XOM,11959500,53.66917037963867,52.720001220703125,1313.699951171875,2707.8798828125,15.720000267028809,2.631999969482422
2292,2019-02-11,XOM,10434800,53.75622177124024,52.40999984741211,1307.0,2709.800048828125,15.970000267028809,2.6610000133514404
2293,2019-02-12,XOM,12599200,54.69932174682617,53.09999847412109,1309.199951171875,2744.72998046875,15.43000030517578,2.684000015258789
2294,2019-02-13,XOM,13214600,55.31595993041992,53.900001525878906,1310.800048828125,2753.030029296875,15.649999618530272,2.7079999446868896
2295,2019-02-14,XOM,12772900,55.33047103881836,54.40999984741211,1309.800048828125,2745.72998046875,16.219999313354492,2.657000064849853
2296,2019-02-15,XOM,14330300,56.37509536743164,55.59000015258789,1318.0999755859375,2775.60009765625,14.90999984741211,2.6659998893737797
2297,2019-02-19,XOM,13551500,56.75235748291016,56.09000015258789,1340.0999755859375,2779.760009765625,14.880000114440918,2.6470000743865967
2298,2019-02-20,XOM,12633100,56.96997833251953,56.91999816894531,1343.300048828125,2784.699951171875,14.020000457763672,2.6540000438690186
2299,2019-02-21,XOM,10266000,56.45491027832031,56.959999084472656,1323.5,2774.8798828125,14.460000038146973,2.687999963760376
2300,2019-02-22,XOM,9519300,56.89019393920898,57.2599983215332,1329.199951171875,2792.669921875,13.510000228881836,2.6549999713897705
2301,2019-02-25,XOM,9274400,56.94822692871094,55.47999954223633,1325.9000244140625,2796.110107421875,14.850000381469728,2.6730000972747803
2302,2019-02-26,XOM,10990600,57.06430435180664,55.5,1325.0999755859375,2793.89990234375,15.170000076293944,2.635999917984009
2303,2019-02-27,XOM,12398200,57.65191650390625,56.93999862670898,1317.699951171875,2792.3798828125,14.699999809265137,2.693000078201294
2304,2019-02-28,XOM,14597900,57.33271408081055,57.220001220703125,1312.800048828125,2784.489990234375,14.779999732971191,2.7109999656677246
2305,2019-03-01,XOM,15419400,58.036399841308594,55.79999923706055,1296.4000244140625,2803.68994140625,13.56999969482422,2.755000114440918
2306,2019-03-04,XOM,18089900,58.26129531860352,56.59000015258789,1284.800048828125,2792.81005859375,14.630000114440918,2.7219998836517334
2307,2019-03-05,XOM,13745500,58.17424011230469,56.560001373291016,1282.0,2789.64990234375,14.739999771118164,2.7219998836517334
2308,2019-03-06,XOM,18633600,57.51408386230469,56.220001220703125,1284.9000244140625,2771.449951171875,15.739999771118164,2.691999912261963
2309,2019-03-07,XOM,16541700,58.152469635009766,56.65999984741211,1283.800048828125,2748.929931640625,16.59000015258789,2.635999917984009
2310,2019-03-08,XOM,16211300,57.31819534301758,56.06999969482422,1297.0,2743.070068359375,16.049999237060547,2.625
2311,2019-03-11,XOM,11060900,57.87680816650391,56.790000915527344,1288.800048828125,2783.300048828125,14.329999923706056,2.6429998874664307
2312,2019-03-12,XOM,11320000,58.036399841308594,56.869998931884766,1296.300048828125,2791.52001953125,13.770000457763672,2.6050000190734863
2313,2019-03-13,XOM,10260200,58.551490783691406,58.2599983215332,1307.5,2810.919921875,13.40999984741211,2.611000061035156
2314,2019-03-14,XOM,9976700,58.355613708496094,58.61000061035156,1293.4000244140625,2808.47998046875,13.5,2.630000114440918
2315,2019-03-15,XOM,25316400,58.14521408081055,58.52000045776367,1301.800048828125,2822.47998046875,12.880000114440918,2.5929999351501465
2316,2019-03-18,XOM,9840600,58.81990051269531,59.09000015258789,1300.300048828125,2832.93994140625,13.100000381469728,2.601999998092652
2317,2019-03-19,XOM,13936500,58.66756439208984,59.02999877929688,1305.0,2832.570068359375,13.5600004196167,2.614000082015991
2318,2019-03-20,XOM,13133600,58.99399566650391,59.83000183105469,1300.5,2824.22998046875,13.90999984741211,2.5350000858306885
2319,2019-03-21,XOM,10117000,59.33496475219727,59.97999954223633,1306.0999755859375,2854.8798828125,13.630000114440918,2.5369999408721924
2320,2019-03-22,XOM,12497700,58.3846321105957,59.040000915527344,1311.5999755859375,2800.7099609375,16.479999542236328,2.4549999237060547
2321,2019-03-25,XOM,11320400,57.978363037109375,58.81999969482422,1321.9000244140625,2798.360107421875,16.329999923706055,2.4200000762939453
2322,2019-03-26,XOM,9472800,58.73283386230469,59.93999862670898,1314.300048828125,2818.4599609375,14.68000030517578,2.4140000343322754
