date,volume,adjprice,oil,gold,sp500,vix,rates_10y
2018-11-13,35374600.0,99.40078735351562,55.68999862670898,1199.199951171875,2722.179931640625,20.020000457763672,3.1449999809265137
2018-11-14,39495100.0,97.99119567871094,56.25,1207.9000244140625,2701.580078125,21.25,3.119999885559082
2018-11-15,38505200.0,100.14759826660156,56.459999084472656,1212.800048828125,2730.199951171875,19.979999542236328,3.118000030517578
2018-11-16,33502100.0,101.09046173095705,56.459999084472656,1220.800048828125,2736.27001953125,18.13999938964844,3.0739998817443848
2018-11-19,44773900.0,97.66445922851562,56.7599983215332,1223.0999755859375,2690.72998046875,20.100000381469727,3.056999921798706
2018-11-20,64052500.0,94.94792938232422,53.43000030517578,1219.0,2641.889892578125,22.479999542236328,3.0480000972747803
2018-11-21,28130600.0,96.25484466552734,54.630001068115234,1225.800048828125,2649.929931640625,20.799999237060547,3.061000108718872
2018-11-23,13823100.0,96.21752166748048,50.41999816894531,1221.0,2632.56005859375,21.520000457763672,3.053999900817871
2018-11-26,32336200.0,99.39146423339844,51.630001068115234,1220.199951171875,2673.449951171875,18.899999618530277,3.072000026702881
2018-11-27,29124500.0,100.01692199707033,51.560001373291016,1211.199951171875,2682.169921875,19.020000457763672,3.055000066757202
2018-11-28,46788500.0,103.7322998046875,50.290000915527344,1221.4000244140625,2743.7900390625,18.489999771118164,3.0439999103546143
2018-11-29,28123200.0,102.8641128540039,51.45000076293945,1224.0999755859375,2737.800048828125,18.790000915527344,3.0350000858306885
2018-11-30,33665600.0,103.51760864257812,50.93000030517578,1220.199951171875,2760.169921875,18.06999969482422,3.013000011444092
2018-12-03,34732800.0,104.6378173828125,52.95000076293945,1233.9000244140625,2790.3701171875,16.440000534057617,2.992000102996826
2018-12-04,45197000.0,101.30516815185548,53.25,1241.0999755859375,2700.06005859375,20.739999771118164,2.924000024795532
2018-12-06,49107400.0,101.9306411743164,51.4900016784668,1238.0999755859375,2695.949951171875,21.190000534057617,2.875999927520752
2018-12-07,45044900.0,97.85113525390624,52.61000061035156,1246.800048828125,2633.080078125,23.229999542236328,2.8499999046325684
2018-12-10,40801500.0,100.43700408935548,51.0,1243.699951171875,2637.719970703125,22.63999938964844,2.8559999465942383
2018-12-11,42381900.0,101.37051391601562,51.650001525878906,1241.9000244140625,2636.780029296875,21.76000022888184,2.878999948501587
2018-12-12,36183000.0,101.82794189453124,51.150001525878906,1244.4000244140625,2651.070068359375,21.459999084472656,2.9059998989105225
2018-12-13,31333400.0,102.17333984375,52.58000183105469,1242.699951171875,2650.5400390625,20.649999618530277,2.9110000133514404
2018-12-14,47043100.0,98.980712890625,51.20000076293945,1237.0,2599.949951171875,21.6299991607666,2.8910000324249268
2018-12-17,56957300.0,96.04946899414062,49.880001068115234,1247.4000244140625,2545.93994140625,24.520000457763672,2.8570001125335693
2018-12-18,49319200.0,97.05765533447266,46.2400016784668,1249.199951171875,2546.159912109375,25.57999992370605,2.825000047683716
2018-12-19,68198200.0,96.7962875366211,47.20000076293945,1252.0999755859375,2506.9599609375,25.57999992370605,2.7780001163482666
2018-12-20,70334200.0,94.76122283935548,45.880001068115234,1263.5999755859375,2467.419921875,28.3799991607666,2.7890000343322754
2018-12-21,111242100.0,91.69928741455078,45.59000015258789,1253.800048828125,2416.6201171875,30.11000061035156,2.7920000553131104
2018-12-24,43935200.0,87.87187194824219,42.529998779296875,1267.5,2351.10009765625,36.06999969482422,2.749000072479248
2018-12-26,51634800.0,93.8743667602539,46.220001220703125,1269.199951171875,2467.699951171875,30.40999984741211,2.796999931335449
2018-12-27,49498500.0,94.4531707763672,44.61000061035156,1277.300048828125,2488.830078125,29.959999084472656,2.743000030517578
2018-12-28,38196300.0,93.71566772460938,45.33000183105469,1279.9000244140625,2485.739990234375,28.34000015258789,2.736000061035156
2018-12-31,33173800.0,94.81723022460938,45.40999984741211,1278.300048828125,2506.85009765625,25.420000076293945,2.686000108718872
2019-01-02,35329300.0,94.39714813232422,46.540000915527344,1281.0,2510.030029296875,23.21999931335449,2.6610000133514404
